时间,温度,湿度,压力,速度
0,25.3,60.2,101.3,10.5
1,25.5,59.8,101.2,12.3
2,25.8,59.5,101.4,15.2
3,26.2,59.1,101.5,18.7
4,26.5,58.8,101.3,22.1
5,26.8,58.5,101.2,25.6
6,27.1,58.2,101.4,28.9
7,27.3,58.0,101.6,31.4
8,27.5,57.8,101.8,33.2
9,27.6,57.6,102.0,34.5
10,27.8,57.4,102.1,35.1
11,27.9,57.2,102.2,35.4
12,28.0,57.1,102.3,35.6
13,28.1,57.0,102.4,35.7
14,28.2,56.9,102.5,35.8
15,28.1,57.1,102.4,35.5
16,27.9,57.3,102.2,35.2
17,27.7,57.6,102.0,34.6
18,27.4,58.0,101.8,33.8
19,27.0,58.4,101.5,32.5
20,26.6,58.9,101.3,30.8
21,26.1,59.4,101.2,28.6
22,25.7,59.8,101.1,25.9
23,25.4,60.1,101.0,22.7

